"razao_social","nome_fantasia","total_despesas_anual"
"BRADESCO SAÚDE S.A.","BRADESCO SAUDE S.A.","77467609279.79"
"SUL AMERICA COMPANHIA DE SEGURO SAÚDE",NULL,"51812853068.58"
"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.","AMIL","51005557507.35"
"NOTRE DAME INTERMÉDICA SAÚDE S.A.",NULL,"23545735832.81"
"HAPVIDA ASSISTENCIA MEDICA S.A.","HAPVIDA","19385534464.99"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL","CASSI","18412177093.19"
"UNIMED NACIONAL - COOPERATIVA CENTRAL","UNIMED NACIONAL","17391267369.70"
"PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA","PREVENT SENIOR","14635643010.58"
"UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO","UNIMED BH","13162050667.89"
"UNIMED SEGUROS SAÚDE S/A","SEGUROS UNIMED","11738001188.48"
